run_date,invoice_number,vendor,kind,amount_usd
2023-12-29,NOR-H2-0101,NORDVIK,PAYMENT,8261.00
2024-01-12,NOR-H2-0104,NORDVIK,PAYMENT,4807.00
2024-01-19,NOR-H2-0118,NORDVIK,PAYMENT,0.00
2024-01-31,NOR-H2-0109,NORDVIK,PAYMENT,6705.00
2024-02-02,NOR-H2-0109,NORDVIK,ADJUSTMENT,150.00
2024-02-09,ATL-H2-0112,ATLASOCEAN,PAYMENT,7670.79
2024-02-09,NOR-H2-0120,NORDVIK,PAYMENT,2851.00
2024-02-16,ATL-H2-0106,ATLASOCEAN,PAYMENT,5638.30
2024-02-16,NOR-H2-0123,NORDVIK,PAYMENT,7219.00
2024-02-23,ATL-H2-0115,ATLASOCEAN,PAYMENT,-119.45
2024-02-23,HAR-H2-0130,HARBORLINK,PAYMENT,1405.00
2024-02-23,NOR-H2-0123,NORDVIK,ADJUSTMENT,37.00
2024-02-29,HAR-H2-0133,HARBORLINK,PAYMENT,0.00
